iter	Passed	Remaining
0	12	6037
1	39	9818
2	51	8522
3	62	7732
4	74	7416
5	88	7273
6	102	7196
7	117	7243
8	136	7449
9	161	7906
10	174	7760
11	184	7499
12	193	7235
13	201	6984
14	211	6848
15	219	6638
16	230	6537
17	238	6398
18	249	6317
19	260	6245
20	271	6182
21	281	6121
22	292	6073
23	303	6016
24	318	6046
25	328	5997
26	340	5969
27	350	5916
28	361	5875
29	372	5834
30	380	5761
31	391	5729
32	400	5662
33	413	5667
34	422	5612
35	431	5560
36	443	5552
37	453	5517
38	466	5510
39	480	5524
40	504	5646
41	515	5626
42	529	5626
43	545	5649
44	556	5628
45	570	5632
46	580	5597
47	594	5598
48	606	5577
49	615	5535
50	626	5515
51	637	5489
52	648	5468
53	659	5443
54	669	5418
55	686	5441
56	698	5432
57	710	5411
58	720	5386
59	734	5386
60	749	5396
61	761	5377
62	776	5385
63	788	5372
64	804	5386
65	818	5381
66	830	5365
67	838	5328
68	847	5290
69	857	5267
70	868	5246
71	879	5226
72	892	5218
73	900	5182
74	908	5148
75	919	5127
76	930	5111
77	941	5093
78	953	5080
79	963	5057
80	971	5025
81	982	5006
82	993	4993
83	1014	5022
84	1025	5005
85	1040	5009
86	1053	4999
87	1061	4970
88	1072	4951
89	1083	4936
90	1092	4910
91	1103	4891
92	1111	4863
93	1123	4850
94	1131	4823
95	1144	4815
96	1153	4790
97	1161	4763
98	1172	4749
99	1183	4732
100	1194	4718
101	1205	4704
102	1215	4686
103	1227	4672
104	1239	4663
105	1250	4647
106	1261	4632
107	1270	4610
108	1281	4596
109	1293	4586
110	1304	4571
111	1312	4547
112	1320	4523
113	1329	4500
114	1340	4486
115	1350	4472
116	1359	4449
117	1370	4436
118	1381	4422
119	1392	4408
120	1402	4393
121	1413	4380
122	1422	4360
123	1433	4346
124	1446	4338
125	1454	4317
126	1465	4305
127	1477	4293
128	1486	4274
129	1498	4264
130	1509	4251
131	1520	4240
132	1528	4218
133	1542	4212
134	1555	4206
135	1567	4196
136	1576	4176
137	1584	4157
138	1595	4144
139	1603	4124
140	1614	4111
141	1625	4098
142	1636	4084
143	1647	4072
144	1658	4059
145	1674	4059
146	1694	4069
147	1702	4049
148	1713	4037
149	1724	4024
150	1738	4017
151	1748	4002
152	1764	4001
153	1781	4001
