iter	Passed	Remaining
154	1794	3994
155	1810	3991
156	1823	3984
157	1841	3985
158	1858	3985
159	1879	3994
160	1892	3985
161	1906	3977
162	1921	3973
163	1946	3988
164	1967	3994
165	1979	3983
166	1993	3974
167	2005	3963
168	2019	3955
169	2034	3949
170	2048	3940
171	2059	3927
172	2072	3916
173	2086	3908
174	2099	3899
175	2115	3894
176	2130	3887
177	2149	3888
178	2177	3904
179	2189	3893
180	2202	3882
181	2214	3868
182	2226	3857
183	2238	3843
184	2250	3831
185	2264	3822
186	2278	3813
187	2288	3797
188	2299	3783
189	2310	3769
190	2324	3760
191	2338	3751
192	2351	3740
193	2357	3719
194	2372	3710
195	2382	3695
196	2397	3686
197	2407	3672
198	2419	3659
199	2433	3649
200	2446	3639
201	2460	3629
202	2473	3618
203	2484	3605
204	2498	3595
205	2511	3584
206	2527	3577
207	2539	3565
208	2551	3552
209	2567	3545
210	2580	3534
211	2592	3522
212	2605	3510
213	2615	3495
214	2629	3486
215	2640	3471
216	2653	3460
217	2667	3450
218	2677	3435
219	2691	3426
220	2702	3411
221	2716	3402
222	2729	3390
223	2740	3376
224	2752	3364
225	2767	3355
226	2778	3341
227	2790	3329
228	2804	3318
229	2818	3308
230	2829	3294
231	2840	3280
232	2853	3269
233	2862	3253
234	2872	3239
235	2881	3223
236	2891	3209
237	2902	3195
238	2914	3182
239	2925	3169
240	2935	3154
241	2944	3138
242	2952	3122
243	2967	3113
244	2983	3104
245	2994	3091
246	3007	3080
247	3019	3068
248	3030	3055
249	3045	3045
250	3057	3033
251	3071	3022
252	3087	3014
253	3101	3004
254	3113	2991
255	3124	2977
256	3134	2963
257	3145	2950
258	3156	2937
259	3167	2923
260	3178	2910
261	3189	2897
262	3200	2884
263	3211	2871
264	3222	2858
265	3233	2844
266	3245	2832
267	3253	2816
268	3264	2803
269	3275	2790
270	3283	2774
271	3294	2761
272	3305	2748
273	3316	2735
274	3327	2722
275	3337	2708
276	3346	2694
277	3354	2679
278	3366	2666
279	3377	2653
280	3388	2640
281	3399	2627
282	3410	2614
283	3421	2602
284	3433	2590
285	3444	2577
286	3455	2564
287	3467	2552
288	3477	2539
289	3488	2526
290	3499	2513
291	3511	2501
292	3525	2490
293	3534	2476
294	3545	2464
295	3556	2451
296	3567	2438
297	3578	2425
298	3589	2413
299	3600	2400
300	3609	2386
301	3622	2375
302	3633	2362
303	3648	2352
304	3656	2337
305	3667	2325
306	3678	2312
307	3687	2298
308	3695	2284
309	3703	2270
310	3715	2257
311	3726	2245
312	3734	2231
313	3745	2218
314	3756	2206
315	3767	2193
316	3778	2181
317	3789	2168
318	3800	2156
319	3812	2144
320	3823	2132
321	3834	2119
322	3845	2107
323	3856	2095
324	3868	2082
325	3879	2070
326	3887	2056
327	3900	2045
328	3916	2035
329	3931	2025
330	3943	2013
331	3954	2001
332	3965	1988
333	3976	1976
334	3987	1963
335	3999	1952
336	4015	1942
337	4029	1931
338	4042	1919
339	4056	1908
340	4075	1900
341	4092	1890
342	4107	1880
343	4116	1866
344	4127	1854
345	4142	1843
346	4157	1833
347	4171	1822
348	4185	1810
349	4199	1799
350	4210	1787
351	4226	1776
352	4239	1765
353	4253	1754
354	4266	1742
355	4279	1730
356	4290	1718
357	4301	1706
358	4312	1693
359	4323	1681
360	4335	1669
361	4346	1656
362	4357	1644
363	4367	1631
364	4378	1619
365	4391	1607
366	4402	1595
367	4411	1582
368	4423	1570
369	4434	1558
370	4447	1546
371	4457	1533
372	4469	1521
373	4479	1509
374	4490	1496
375	4502	1484
376	4511	1472
377	4524	1460
378	4533	1447
379	4544	1435
380	4555	1422
381	4566	1410
382	4577	1398
383	4587	1385
384	4598	1373
385	4609	1361
386	4618	1348
387	4628	1336
388	4643	1324
389	4654	1312
390	4665	1300
391	4677	1288
392	4688	1276
393	4699	1264
394	4710	1252
395	4721	1240
396	4730	1227
397	4741	1215
398	4753	1203
399	4764	1191
400	4772	1178
401	4783	1166
402	4794	1153
403	4804	1141
404	4813	1129
405	4821	1116
406	4832	1104
407	4840	1091
408	4851	1079
409	4863	1067
410	4873	1055
411	4887	1043
412	4898	1031
413	4906	1019
414	4919	1007
415	4930	995
416	4940	983
417	4951	971
418	4962	959
419	4973	947
420	4984	935
421	4995	923
422	5006	911
423	5017	899
424	5029	887
425	5040	875
426	5048	863
427	5060	851
428	5070	839
429	5082	827
430	5091	815
431	5102	803
432	5114	791
433	5122	779
434	5133	767
435	5144	755
436	5154	743
437	5163	730
438	5174	719
439	5182	706
440	5193	694
441	5204	682
442	5214	670
443	5225	659
444	5234	646
445	5245	635
446	5256	623
447	5282	613
448	5296	601
449	5309	589
450	5343	580
451	5354	568
452	5374	557
453	5388	545
454	5405	534
455	5417	522
456	5428	510
457	5440	498
458	5448	486
459	5461	474
460	5475	463
461	5488	451
462	5500	439
463	5511	427
464	5522	415
465	5531	403
466	5543	391
467	5555	379
468	5563	367
469	5574	355
470	5585	343
471	5594	331
472	5602	319
473	5613	307
474	5624	296
475	5638	284
476	5651	272
477	5662	260
478	5670	248
479	5681	236
480	5692	224
481	5703	212
482	5715	201
483	5726	189
484	5734	177
485	5744	165
486	5755	153
487	5768	141
488	5779	130
489	5790	118
490	5799	106
491	5810	94
492	5821	82
493	5832	70
494	5843	59
495	5854	47
496	5868	35
497	5879	23
498	5891	11
499	5900	0
